"player","playerShort","birthday","height","weight","position","club","leagueCountry","refNum","goals","victories","defeats","yellowCards","games","redCards","rater1","rater2"
"Azpilicueta","azpilicueta_2","28.08.1989",178,70,"Right Fullback","Chelsea FC","England",2961,0,0,2,0,4,0,0.25,0.25
"Bacary Sagna","bacary-sagna","14.02.1983",176,72,"Right Fullback","Arsenal FC","England",2961,0,2,1,0,4,0,1,1
"Benoit Pedretti","benoit-pedretti","12.11.1980",177,69,"Defensive Midfielder","Lille OSC","France",2961,1,4,3,1,8,0,0.25,0.25
"Blaise Matuidi","blaise-matuidi","09.04.1987",175,70,"Defensive Midfielder","Paris Saint-Germain","France",2961,0,4,2,1,11,0,0.75,0.75
"Brad Friedel","brad-friedel","18.05.1971",193,91,"Goalkeeper","Tottenham Hotspur","England",2961,0,0,0,0,1,0,0.25,0.25
"Brett Holman","brett-holman","27.03.1984",176,75,"Attacking Midfielder","Aston Villa","England",2961,0,0,0,0,1,0,0,0
"Camel Meriem","camel-meriem","18.10.1979",174,70,"Attacking Midfielder","OGC Nice","France",2961,0,3,2,0,9,0,0.25,0.25
"Castillo","castillo_8","29.03.1986",182,71,"Left Fullback","Athletic Bilbao","Spain",2961,0,0,0,0,1,0,0,0
"Cedric Carrasso","cedric-carrasso","30.12.1981",192,87,"Goalkeeper","Girondins Bordeaux","France",2961,0,10,5,0,20,0,0.25,0.25
"Cedric Kante","cedric-kante","06.07.1979",181,77,"Center Back","FC Sochaux","France",2961,0,2,4,4,13,0,0.5,0.5
"Chris Baird","chris-baird","25.02.1982",186,77,"Defensive Midfielder","Fulham FC","England",2961,0,0,0,0,1,0,0,0
"Chu-Young Park","chu-young-park","10.07.1985",183,70,"Center Forward","Celta Vigo","Spain",2961,2,1,1,1,4,0,0.25,0.5
"Ciprian Marica","ciprian-marica","02.10.1985",185,80,"Right Winger","FC Schalke 04","Germany",2961,0,1,0,0,1,0,0,0.25
"Clement Chantome","clement-chantome","11.09.1987",179,71,"Defensive Midfielder","Paris Saint-Germain","France",2961,1,2,2,1,6,0,0.25,0.25
"Cristian Molinaro","cristian-molinaro","30.07.1983",178,72,"Left Fullback","VfB Stuttgart","Germany",2961,0,1,0,0,1,0,0.25,0.25
"Damien Perquis","damien-perquis","10.04.1984",184,78,"Center Back","Real Betis","Spain",2961,0,0,1,1,3,0,0,0
"Daniel Congre","daniel-congre","05.04.1985",184,79,"Center Back","Montpellier HSC","France",2961,1,5,7,2,14,0,0.25,0.5
"Danijel Aleksic","danijel-aleksic","30.04.1991",181,77,"Center Forward","AS Saint-Etienne","France",2961,0,0,1,0,1,0,0.25,0.25
"Dariusz Dudka","dariusz-dudka","09.12.1983",183,80,"Defensive Midfielder","Levante UD","Spain",2961,0,3,1,1,5,0,0.25,0.25
"David Bellion","david-bellion","27.11.1982",181,72,"Center Forward","Girondins Bordeaux","France",2961,1,4,3,0,11,0,0.5,0.5
"David Sauget","david-sauget","23.11.1979",175,69,"Left Fullback","FC Sochaux","France",2961,0,3,2,1,6,0,0,0
"Didier Digard","didier-digard","12.07.1986",184,81,"Defensive Midfielder","OGC Nice","France",2961,0,3,2,1,5,0,0,0
"Diego Buonanotte","diego-buonanotte","19.04.1988",161,60,"Attacking Midfielder","Malaga CF","Spain",2961,0,1,0,0,1,0,0.25,0.25
"Dorge Kouemaha","dorge-kouemaha","28.06.1983",188,86,"Center Forward","Eintracht Frankfurt","Germany",2961,1,1,0,0,1,0,0.75,1
"Duda","duda_2","27.06.1980",175,71,"Left Midfielder","Malaga CF","Spain",2961,0,1,0,1,1,0,0.25,0.25
"Eden Hazard","eden-hazard","07.01.1991",170,69,"Right Winger","Chelsea FC","England",2961,1,2,2,0,5,0,0.25,0.25
"Eliseu","eliseu","01.10.1983",177,74,"Left Midfielder","Malaga CF","Spain",2961,1,1,0,0,1,0,0.75,0.75
"Fabien Audard","fabien-audard","28.03.1978",188,89,"Goalkeeper","FC Lorient","France",2961,0,1,4,0,10,0,0,0.25
"Fabrice Begeorgi","fabrice-begeorgi","20.04.1987",177,74,"Right Fullback","AC Ajaccio","France",2961,0,1,1,1,2,0,0,0
"Federico Fazio","federico-fazio","17.03.1987",195,90,"Center Back","Sevilla FC","Spain",2961,0,1,0,0,1,0,0.25,0.5
"Fernando Navarro","fernando-navarro","25.06.1982",176,69,"Left Fullback","Sevilla FC","Spain",2961,0,1,0,1,1,0,0,0.25
"Florent Balmont","florent-balmont","02.02.1980",170,64,"Defensive Midfielder","Lille OSC","France",2961,0,5,4,2,13,0,0,0
"Francis Coquelin","francis-coquelin","13.05.1991",178,73,"Defensive Midfielder","Arsenal FC","England",2961,0,0,0,0,1,0,0.5,0.5
"Franck Beria","franck-beria","23.05.1983",180,72,"Right Fullback","Lille OSC","France",2961,1,3,4,3,11,0,0.5,0.75
"Franck Ribery","franck-ribery","07.04.1983",170,72,"Left Midfielder","Bayern Munchen","Germany",2961,1,1,2,0,3,0,0.25,0.25
"Francois Clerc","francois-clerc","18.04.1983",186,77,"Right Fullback","AS Saint-Etienne","France",2961,0,2,1,0,4,0,0,0
"Gael Danic","gael-danic","19.11.1981",176,65,"Left Midfielder","Valenciennes FC","France",2961,1,0,3,0,4,0,0,0
"Gaetan Bong","gaetan-bong","25.04.1988",183,74,"Left Fullback","Valenciennes FC","France",2961,0,0,0,0,1,0,0.75,0.75
"Geoffrey Kondogbia","geoffrey-kondogbia","15.02.1993",188,76,"Defensive Midfielder","Sevilla FC","Spain",2961,0,1,0,0,2,0,0.75,1
"Georg Niedermeier","georg-niedermeier","26.02.1986",188,74,"Right Fullback","VfB Stuttgart","Germany",2961,0,1,0,0,1,0,0,0
"Gervinho","gervinho","27.05.1987",179,68,"Right Winger","Arsenal FC","England",2961,2,1,1,0,2,0,0.75,0.75
"Gianni Bruno","gianni-bruno","19.08.1991",180,74,"Center Forward","Lille OSC","France",2961,1,0,2,0,3,0,0.25,0.25
"Giorgios Karagounis","giorgios-karagounis","06.03.1977",176,83,"Attacking Midfielder","Fulham FC","England",2961,0,1,0,1,3,0,0,0
"Gregory Bourillon","gregory-bourillon","01.07.1984",187,76,"Center Back","FC Lorient","France",2961,1,1,3,2,10,1,0.25,0.25
"Gregory Sertic","gregory-sertic","05.08.1989",181,69,"Left Midfielder","Girondins Bordeaux","France",2961,0,5,3,1,10,0,0,0.25
"Guy N'Dy Assembe","guy-ndy-assembe","28.02.1986",184,79,"Goalkeeper","AS Nancy","France",2961,0,0,1,0,3,0,0.75,1
"Henrique","henrique","02.05.1983",188,87,"Center Back","Girondins Bordeaux","France",2961,1,5,1,2,11,0,0.75,0.75
"Hilton","hilton","13.09.1977",182,73,"Center Back","Montpellier HSC","France",2961,1,6,6,4,20,0,0.25,0.25
"Igor de Camargo","igor-de-camargo","12.05.1983",187,83,"Center Forward","Bor. Monchengladbach","Germany",2961,1,1,0,0,1,0,0.5,0.5
"Iraola","iraola","22.06.1982",182,75,"Right Fullback","Athletic Bilbao","Spain",2961,0,0,0,0,1,0,0,0.25
"Jaroslav Plasil","jaroslav-plasil","05.01.1982",183,72,"Right Midfielder","Girondins Bordeaux","France",2961,1,5,3,4,14,0,0.25,0.25
"Jean-Christophe Bahebeck","jean-christophe-bahebeck","01.05.1993",182,76,"Center Forward","ESTAC Troyes","France",2961,1,1,1,0,4,0,0.75,1
"Jeremie Brechet","jeremie-brechet","14.08.1979",186,76,"Center Back","ESTAC Troyes","France",2961,1,3,1,0,7,0,0,0.25
"Jeremy Mathieu","jeremy-mathieu","29.10.1983",192,83,"Left Fullback","Valencia CF","Spain",2961,1,6,2,1,8,0,0,0
"Jimmy Briand","jimmy-briand","02.08.1985",180,74,"Center Forward","Olympique Lyon","France",2961,3,4,3,2,9,0,0.5,0.75
"Johan Audel","johan-audel","12.12.1983",180,75,"Left Winger","VfB Stuttgart","Germany",2961,1,1,4,2,6,0,0.75,0.75
"John Utaka","john-utaka","08.01.1982",179,82,"Right Winger","Montpellier HSC","France",2961,2,3,3,0,9,0,0.75,0.75
"Jonny Evans","jonny-evans","02.01.1988",188,77,"Center Back","Manchester United","England",2961,0,0,0,0,1,0,0,0
"Jose Saez","jose-saez","07.05.1982",170,63,"Defensive Midfielder","Valenciennes FC","France",2961,0,1,5,2,7,1,0,0.25
"Julien Quercia","julien-quercia","17.08.1986",168,65,"Left Winger","FC Lorient","France",2961,0,1,0,0,1,0,0.25,0.25
"Julien Sable","julien-sable","11.09.1980",181,73,"Defensive Midfielder","SC Bastia","France",2961,0,1,1,0,7,0,0.25,0.25
"Kevin De Bruyne","kevin-de-bruyne","28.06.1991",181,76,"Attacking Midfielder","Werder Bremen","Germany",2961,0,0,1,0,1,0,0,0
"Kevin Theophile-Catherine","kevin-theophile-catherine","28.10.1989",180,77,"Right Fullback","Stade Rennes","France",2961,1,1,2,0,4,0,0.75,0.75
"Leon Andreasen","leon-andreasen","23.04.1983",188,81,"Defensive Midfielder","Hannover 96","Germany",2961,0,0,0,0,1,0,0,0.25
"Lionel Cappone","lionel-cappone","08.02.1979",182,74,"Goalkeeper","Stade Brest","France",2961,0,1,0,0,2,0,0.25,0.25
"Llorente","llorente","26.02.1985",195,94,"Center Forward","Athletic Bilbao","Spain",2961,0,0,0,0,1,0,0,0
"Loic Remy","loic-remy","02.01.1987",184,66,"Right Winger","Olympique Marseille","France",2961,3,0,3,0,10,0,0.5,0.75
"Luke Young","luke-young","19.07.1979",183,78,"Right Fullback","Queens Park Rangers","England",2961,0,0,0,0,1,0,0.25,0.25
"Manuel Neuer","manuel-neuer","27.03.1986",193,92,"Goalkeeper","Bayern Munchen","Germany",2961,0,0,0,0,1,0,0.25,0.25
"Marchena","marchena","31.07.1979",183,78,"Center Back","Deportivo La Coruna","Spain",2961,0,0,1,0,1,0,0.25,0.5
"Mario Balotelli","mario-balotelli","12.08.1990",189,88,"Center Forward","Manchester City","England",2961,3,2,0,1,2,1,1,1
"Mario Mandzukic","mario-mandzukic","21.05.1986",187,84,"Center Forward","Bayern Munchen","Germany",2961,0,1,0,1,1,0,0.25,0.25
"Marko Basa","marko-basa","29.12.1982",189,75,"Center Back","Lille OSC","France",2961,2,3,2,0,7,0,0.25,0.25
"Martin Demichelis","martin-demichelis","20.12.1980",184,80,"Center Back","Malaga CF","Spain",2961,1,1,0,0,1,0,0.25,0.25
"Martin Harnik","martin-harnik","10.06.1987",185,73,"Center Forward","VfB Stuttgart","Germany",2961,1,1,0,0,1,0,0,0
"Matthias Ginter","matthias-ginter","19.01.1994",188,85,"Center Back","SC Freiburg","Germany",2961,0,0,1,0,1,0,0,0
"Matthieu Chalme","matthieu-chalme","07.10.1980",179,75,"Right Fullback","Girondins Bordeaux","France",2961,0,7,1,4,13,0,0.25,0.25
"Mevlut Erdinc","mevluet-erdinc","25.02.1987",179,69,"Center Forward","Stade Rennes","France",2961,0,0,1,0,3,0,0,0
"Michel","michel_15","29.07.1988",180,73,"Center Midfielder","Levante UD","Spain",2961,0,0,0,1,1,0,0.25,0.25
"Mickael Landreau","mickael-landreau","14.05.1979",184,80,"Goalkeeper","Lille OSC","France",2961,0,1,7,1,13,0,0,0.25
"Mouhamadou Dabo","mouhamadou-dabo","28.11.1986",176,65,"Left Fullback","Olympique Lyon","France",2961,0,3,1,0,4,2,1,1
"Nemanja Pejcinovic","nemanja-pejcinovic","04.11.1987",185,84,"Center Back","OGC Nice","France",2961,0,1,1,0,2,0,0.25,0.25
"Nene","nene_2","19.07.1981",181,70,"Left Midfielder","Paris Saint-Germain","France",2961,3,2,2,2,8,0,0.25,0.25
"Nicolas Fauvergue","nicolas-fauvergue","13.10.1984",191,81,"Center Forward","Stade Reims","France",2961,2,5,1,0,10,0,0.25,0.25
"Obafemi Martins","obafemi-martins","28.10.1984",176,67,"Center Forward","Levante UD","Spain",2961,0,0,0,0,1,0,1,1
"Oliver Baumann","oliver-baumann","02.06.1990",187,80,"Goalkeeper","SC Freiburg","Germany",2961,0,0,1,0,1,0,0.25,0.25
"Omar Daf","omar-daf","12.02.1977",177,70,"Right Fullback","FC Sochaux","France",2961,1,2,2,2,6,0,0.75,0.75
"Pantxi Sirieix","pantxi-sirieix","07.10.1980",180,70,"Defensive Midfielder","Toulouse FC","France",2961,0,5,5,0,12,0,0.25,0.25
"Patrick Ebert","patrick-ebert","17.03.1987",172,68,"Left Midfielder","Real Valladolid","Spain",2961,0,0,0,0,1,0,0,0
"Pavel Krmas","pavel-krmas","03.03.1980",193,86,"Center Back","SC Freiburg","Germany",2961,0,0,1,0,1,0,0.25,0.25
"Piotr Trochowski","piotr-trochowski","22.03.1984",168,73,"Attacking Midfielder","Sevilla FC","Spain",2961,0,1,0,0,1,0,0.25,0.25
"Pique","pique","02.02.1987",192,85,"Center Back","FC Barcelona","Spain",2961,0,1,0,0,1,0,0,0
"Radamel Falcao","radamel-falcao","10.02.1986",177,72,"Center Forward","Atletico Madrid","Spain",2961,1,2,0,0,3,0,0.5,0.25
"Rafael van der Vaart","rafael-van-der-vaart","11.02.1983",176,74,"Attacking Midfielder","Hamburger SV","Germany",2961,0,0,0,0,1,0,0,0.25
"Remi Gomis","remi-gomis","14.02.1984",180,74,"Defensive Midfielder","Valenciennes FC","France",2961,0,1,1,0,4,0,1,1
"Remy Cabella","remy-cabella","08.03.1990",171,62,"Attacking Midfielder","Montpellier HSC","France",2961,2,2,3,0,7,0,0,0
"Ricardo Carvalho","ricardo-carvalho","18.05.1978",182,79,"Center Back","Real Madrid","Spain",2961,0,2,0,0,3,0,0.25,0.25
"Romaric","romaric","04.06.1983",187,88,"Defensive Midfielder","Real Zaragoza","Spain",2961,0,2,1,2,4,0,0.75,0.75
"Romelu Lukaku","romelu-lukaku","13.05.1993",193,95,"Center Forward","West Bromwich Albion","England",2961,0,1,0,0,1,0,0.75,0.75
"Ronan Le Crom","ronan-le-crom","13.07.1974",186,77,"Goalkeeper","Paris Saint-Germain","France",2961,0,0,1,0,2,0,0.25,0.25
"Roy Contout","roy-contout","11.02.1985",174,62,"Center Forward","FC Sochaux","France",2961,1,2,3,1,6,0,0.5,0.5
"Salvatore Sirigu","salvatore-sirigu","12.01.1987",190,80,"Goalkeeper","Paris Saint-Germain","France",2961,0,4,0,0,7,0,0.25,0.25
"Sebastian Boenisch","sebastian-boenisch","01.02.1987",191,85,"Left Fullback","Bayer Leverkusen","Germany",2961,0,0,0,0,1,0,0,0
"Sebastien Bassong","sebastien-bassong","09.07.1986",187,84,"Center Back","Norwich City","England",2961,0,0,2,0,3,0,1,1
"Sergio Sanchez","sergio-sanchez_2","03.04.1986",185,76,"Right Fullback","Malaga CF","Spain",2961,0,0,0,0,1,0,0.25,0.25
"Sofian Chahed","sofian-chahed","18.04.1983",178,73,"Defensive Midfielder","Hannover 96","Germany",2961,0,0,0,0,1,0,0.25,0.25
"Sokratis Papastathopoulos","sokratis-papastathopoulos","09.06.1988",185,82,"Center Back","Werder Bremen","Germany",2961,0,0,0,0,1,0,0.25,0.25
"Sotirios Kyrgiakos","sotirios-kyrgiakos","23.07.1979",193,88,"Center Back","VfL Wolfsburg","Germany",2961,0,1,0,0,1,0,0.25,0.25
"Steed Malbranque","steed-malbranque","06.01.1980",173,72,"Attacking Midfielder","Olympique Lyon","France",2961,0,1,0,0,1,0,0.25,0.25
"Stephane Mbia","stephane-mbia","20.05.1986",189,82,"Defensive Midfielder","Queens Park Rangers","England",2961,0,2,4,0,7,1,1,0.75
"Steve Mandanda","steve-mandanda","28.03.1985",185,82,"Goalkeeper","Olympique Marseille","France",2961,0,4,5,0,15,0,0.75,1
"Steven Cherundolo","steven-cherundolo","19.02.1979",172,69,"Right Fullback","Hannover 96","Germany",2961,0,0,0,1,1,0,0,0.25
"Steven Naismith","steven-naismith","14.09.1986",175,72,"Center Forward","Everton FC","England",2961,0,0,0,0,1,0,0,0
"Stilian Petrov","stilian-petrov","05.07.1979",180,77,"Center Midfielder","Aston Villa","England",2961,0,0,0,0,1,0,0.25,0.25
"Szabolcs Huszti","szabolcs-huszti","18.04.1983",173,72,"Right Midfielder","Hannover 96","Germany",2961,0,0,1,1,1,0,0,0
"Thomas Kahlenberg","thomas-kahlenberg","20.03.1983",183,72,"Attacking Midfielder","VfL Wolfsburg","Germany",2961,0,2,1,0,5,0,0,0
"Tiago","tiago_3","02.05.1981",183,71,"Attacking Midfielder","Atletico Madrid","Spain",2961,1,1,0,0,1,0,0,0
"Toquero","toquero","09.08.1984",182,79,"Center Forward","Athletic Bilbao","Spain",2961,0,0,0,0,1,0,0,0.25
"Vaclav Pilar","vaclav-pilar","13.10.1988",170,69,"Right Winger","VfL Wolfsburg","Germany",2961,0,0,1,0,1,0,0,0.25
"Vurnon Anita","vurnon-anita","04.04.1989",166,63,"Defensive Midfielder","Newcastle United","England",2961,0,0,0,0,1,0,1,1
"Yann M'Vila","yann-mvila","26.06.1990",169,56,"Defensive Midfielder","Stade Rennes","France",2961,0,1,2,0,3,0,0.5,0.5
"Yassine Jebbour","yassine-jebbour","24.08.1991",181,70,"Left Fullback","Stade Rennes","France",2961,0,0,2,0,2,1,0.5,0.75
"Yoann Gourcuff","yoann-gourcuff","11.07.1986",185,79,"Attacking Midfielder","Olympique Lyon","France",2961,3,7,0,0,10,0,0.25,0
"Younes Belhanda","younes-belhanda","25.02.1990",174,75,"Attacking Midfielder","Montpellier HSC","France",2961,3,4,4,1,11,0,0.25,0.25
"Younes Kaboul","younes-kaboul","04.01.1986",190,87,"Center Back","Tottenham Hotspur","England",2961,1,1,0,0,1,0,0.5,0.5
"Youssef El-Arabi","youssef-el-arabi","03.02.1987",180,75,"Center Forward","Granada CF","Spain",2961,1,2,0,0,2,0,0.5,0.75
"Amin Younes","amin-younes","06.08.1993",168,67,"Right Midfielder","Bor. Monchengladbach","Germany",2963,0,1,0,0,1,0,0.25,0.25
"Jonas Hofmann","jonas-hofmann","14.07.1992",176,67,"Right Midfielder","Borussia Dortmund","Germany",2963,1,1,0,0,1,0,0,0
"Matthias Ginter","matthias-ginter","19.01.1994",188,85,"Center Back","SC Freiburg","Germany",2963,0,1,0,0,1,0,0,0
"Cedric Makiadi","cedric-makiadi","23.02.1984",177,77,"Attacking Midfielder","SC Freiburg","Germany",2967,0,0,0,0,1,0,0.75,0.75
"Emanuel Pogatetz","emanuel-pogatetz","16.01.1983",189,90,"Center Back","VfL Wolfsburg","Germany",2967,0,0,0,0,1,0,0.25,0.25
"Martin Amedick","martin-amedick","06.09.1982",194,85,"Center Back","Eintracht Frankfurt","Germany",2967,0,0,0,0,1,0,0,0
"Patrick Owomoyela","patrick-owomoyela","05.11.1979",187,87,"Right Fullback","Borussia Dortmund","Germany",2967,0,0,2,1,4,0,0.5,0.5
"Sejad Salihovic","sejad-salihovic","08.10.1984",180,81,"Center Midfielder","1899 Hoffenheim","Germany",2967,0,0,0,0,1,0,0.25,0.25
"Simon Rolfes","simon-rolfes","21.01.1982",191,83,"Defensive Midfielder","Bayer Leverkusen","Germany",2967,0,1,1,0,2,0,0,0
"Sofian Chahed","sofian-chahed","18.04.1983",178,73,"Defensive Midfielder","Hannover 96","Germany",2967,0,0,0,0,1,0,0.25,0.25
"Thomas Kleine","thomas-kleine","28.12.1977",191,82,"Center Back","SpVgg Greuther Furth","Germany",2967,0,0,0,0,1,0,0,0
"Tim Wiese","tim-wiese","17.12.1981",193,100,"Goalkeeper","1899 Hoffenheim","Germany",2967,0,0,1,0,1,0,0.25,0.25
"Tom Starke","tom-starke","18.03.1981",194,91,"Goalkeeper","Bayern Munchen","Germany",2967,0,0,0,0,1,0,0.25,0.5
"Artur Boruc","artur-boruc","20.02.1980",193,88,"Goalkeeper","Southampton FC","England",2970,0,0,1,0,1,0,0,0.25
"Ashley Cole","ashley-cole","20.12.1980",170,67,"Left Fullback","Chelsea FC","England",2970,0,1,0,0,1,0,0.5,0.5
"Damien Duff","damien-duff","02.03.1979",178,70,"Left Winger","Fulham FC","England",2970,0,0,0,0,1,0,0,0
"Emre Belozoglu","emre-beloezoglu","07.09.1980",170,68,"Center Midfielder","Atletico Madrid","Spain",2970,0,1,0,1,1,0,0.25,0.25
"Gary Caldwell","gary-caldwell","12.04.1982",180,74,"Center Back","Wigan Athletic","England",2970,0,1,0,1,1,0,0,0
"Lukas Podolski","lukas-podolski","04.06.1985",180,80,"Center Forward","Arsenal FC","England",2970,0,1,0,0,1,0,0,0
"Michael Owen","michael-owen","14.12.1979",173,70,"Center Forward","Stoke City","England",2970,0,1,0,0,1,0,0,0.25
"Paulo Ferreira","paulo-ferreira","18.01.1979",182,76,"Right Fullback","Chelsea FC","England",2970,0,0,1,1,1,0,0.5,0.5
"Peter Crouch","peter-crouch","30.01.1981",202,80,"Center Forward","Stoke City","England",2970,1,1,0,0,1,0,0,0
"Steven Gerrard","steven-gerrard","30.05.1980",188,83,"Center Midfielder","Liverpool FC","England",2970,1,1,0,0,1,0,0,0
"Hajime Hosogai","hajime-hosogai","10.06.1986",177,69,"Defensive Midfielder","Bayer Leverkusen","Germany",2979,0,0,1,0,1,0,0.25,0.25
"Brad Friedel","brad-friedel","18.05.1971",193,91,"Goalkeeper","Tottenham Hotspur","England",2982,0,1,0,0,1,0,0.25,0.25
"Doni","doni","22.10.1979",194,89,"Goalkeeper","Liverpool FC","England",2982,0,1,0,0,1,0,0.25,0.25
"Gustavo Munua","gustavo-munua","27.01.1978",188,87,"Goalkeeper","Levante UD","Spain",2982,0,1,0,0,2,0,0.5,0.5
"Omar Daf","omar-daf","12.02.1977",177,70,"Right Fullback","FC Sochaux","France",2982,0,1,0,0,1,0,0.75,0.75
"Alphonse Areola","alphonse-areola","27.02.1993",190,88,"Goalkeeper","Paris Saint-Germain","France",2990,0,1,0,0,1,0,0.5,0.5
"Anthony Annan","anthony-annan","21.07.1986",175,64,"Defensive Midfielder","CA Osasuna","Spain",2990,0,1,0,0,1,0,1,1
"Geoffrey Kondogbia","geoffrey-kondogbia","15.02.1993",188,76,"Defensive Midfielder","Sevilla FC","Spain",2990,0,1,0,0,1,0,0.75,1
"Jean-Christophe Bahebeck","jean-christophe-bahebeck","01.05.1993",182,76,"Center Forward","ESTAC Troyes","France",2990,0,1,0,0,1,0,0.75,1
"John O'Shea","john-oshea","30.04.1981",190,75,"Center Back","Sunderland AFC","England",2990,1,1,0,0,1,0,0,0.25
"Juan Bernat","juan-bernat","01.03.1993",172,67,"Left Fullback","Valencia CF","Spain",2990,0,1,0,0,1,0,0.25,0.25
"Juanmi","juanmi_4","20.05.1993",170,63,"Center Forward","Malaga CF","Spain",2990,0,1,0,0,1,0,0.25,0.5
"Per Skjelbred","per-skjelbred","16.06.1987",175,74,"Attacking Midfielder","Hamburger SV","Germany",2990,0,1,0,0,1,0,0,0
"Teemu Pukki","teemu-pukki","29.03.1990",180,78,"Center Forward","FC Schalke 04","Germany",2990,1,2,0,0,2,0,0,0
"Salvatore Sirigu","salvatore-sirigu","12.01.1987",190,80,"Goalkeeper","Paris Saint-Germain","France",2996,0,0,1,0,1,0,0.25,0.25
"Baba Diawara","baba-diawara","05.01.1988",179,76,"Center Forward","Sevilla FC","Spain",2999,3,2,3,0,5,0,1,1
"Eliseu","eliseu","01.10.1983",177,74,"Left Midfielder","Malaga CF","Spain",2999,0,0,1,1,1,0,0.75,0.75
"Radamel Falcao","radamel-falcao","10.02.1986",177,72,"Center Forward","Atletico Madrid","Spain",2999,3,3,0,0,3,0,0.5,0.25
"Ramires","ramires","24.03.1987",180,64,"Center Midfielder","Chelsea FC","England",2999,0,1,0,0,1,0,1,1
"Reyes","reyes","01.09.1983",176,73,"Left Midfielder","Sevilla FC","Spain",2999,0,0,0,0,1,0,0,0.25
"Giorgios Karagounis","giorgios-karagounis","06.03.1977",176,83,"Attacking Midfielder","Fulham FC","England",3001,1,1,0,0,1,0,0,0
"Adam Pinter","adam-pinter","12.06.1988",190,76,"Center Back","Real Zaragoza","Spain",3002,0,1,0,0,1,0,0,0
"Anton Putsila","anton-putsila","10.06.1987",180,74,"Center Midfielder","SC Freiburg","Germany",3002,0,1,0,0,1,0,0,0.25
"Adrian","adrian_7","21.05.1983",188,82,"Goalkeeper","SD Compostela","Spain",3013,0,0,1,0,1,0,0.25,0.25
"Abel Aguilar","abel-aguilar","06.01.1985",185,78,"Defensive Midfielder","Deportivo La Coruna","Spain",3015,0,1,0,0,1,0,0.5,0.25
"Adil Rami","adil-rami","27.12.1985",190,88,"Center Back","Valencia CF","Spain",3015,0,0,1,0,1,0,0,0.25
"Amorebieta","amorebieta","29.03.1985",192,85,"Center Back","Athletic Bilbao","Spain",3015,0,0,0,0,1,0,0,0
"Andres Tunez","andres-tunez","15.03.1987",187,83,"Center Back","Celta Vigo","Spain",3015,0,0,1,0,1,0,0.25,0.25
"Blaise Matuidi","blaise-matuidi","09.04.1987",175,70,"Defensive Midfielder","Paris Saint-Germain","France",3015,0,0,1,0,1,0,0.75,0.75
"Fabian Orellana","fabian-orellana","27.01.1986",169,70,"Right Winger","Granada CF","Spain",3015,0,0,0,0,1,0,0.5,0.5
"Fernando Gago","fernando-gago","10.04.1986",178,74,"Defensive Midfielder","Valencia CF","Spain",3015,0,1,0,0,1,0,0.25,0.25
"Gonzalo Higuai-n","gonzalo-higuain","10.12.1987",184,82,"Center Forward","Real Madrid","Spain",3015,2,1,0,1,1,0,0,0.25
"Gonzalo Jara","gonzalo-jara","29.08.1985",178,71,"Center Back","West Bromwich Albion","England",3015,0,0,1,0,1,0,0.25,0.25
"Javier Mascherano","javier-mascherano","08.06.1984",174,74,"Defensive Midfielder","FC Barcelona","Spain",3015,0,1,0,0,1,0,0.25,0.25
"Jeremy Mathieu","jeremy-mathieu","29.10.1983",192,83,"Left Fullback","Valencia CF","Spain",3015,0,0,1,0,1,0,0,0
"Junior Fernandes","junior-fernandes","04.10.1988",181,78,"Center Forward","Bayer Leverkusen","Germany",3015,0,0,2,0,2,0,0.75,0.75
"Kaka","kaka","22.04.1982",186,78,"Attacking Midfielder","Real Madrid","Spain",3015,0,0,0,0,1,0,0,0
"Oscar Wendt","oscar-wendt","24.10.1985",181,82,"Left Fullback","Bor. Monchengladbach","Germany",3015,0,0,1,0,1,0,0,0
"Radamel Falcao","radamel-falcao","10.02.1986",177,72,"Center Forward","Atletico Madrid","Spain",3015,1,1,0,0,1,0,0.5,0.25
"Ramires","ramires","24.03.1987",180,64,"Center Midfielder","Chelsea FC","England",3015,0,0,0,0,1,0,1,1
"Sebastian Coates","sebastian-coates","07.10.1990",196,85,"Center Back","Liverpool FC","England",3015,0,0,0,1,1,0,0,0.25
"Aduriz","aduriz","11.02.1981",182,78,"Center Forward","Athletic Bilbao","Spain",3016,0,0,1,0,1,0,0.25,0.25
"Albelda","albelda","01.09.1977",181,77,"Defensive Midfielder","Valencia CF","Spain",3016,1,6,1,3,9,0,0.25,0.25
"Alexis","alexis","04.08.1985",183,80,"Center Back","Getafe CF","Spain",3016,0,1,0,0,1,0,0,0
"Ansotegi","ansotegi","13.07.1982",192,84,"Center Back","Real Sociedad","Spain",3016,0,0,0,0,1,0,0.25,0.25
"Aranda","aranda","27.07.1980",184,82,"Center Forward","Real Zaragoza","Spain",3016,0,1,1,0,2,0,0.25,0.25
"Aranzubia","aranzubia","18.09.1979",184,80,"Goalkeeper","Deportivo La Coruna","Spain",3016,0,2,0,1,4,0,0,0
"Borja Oubina","borja-oubina","17.05.1982",180,75,"Defensive Midfielder","Celta Vigo","Spain",3016,0,0,0,0,1,0,0.25,0.25
"Calatayud","calatayud","21.12.1979",191,88,"Goalkeeper","RCD Mallorca","Spain",3016,0,0,1,0,1,0,0,0
"Carlos Kameni","carlos-kameni","18.02.1984",184,78,"Goalkeeper","Malaga CF","Spain",3016,0,2,1,0,3,0,1,1
